run,stage,baud,ok,sent,recv,mismatch,timeout,sec,kbps,note
1,recover,115200,1,0,0,0,0,0.0,0.0,already
1,handshake,115200,1,0,0,0,0,0.0,0.0,@PONG
1,stress,115200,1,38400,38400,0,0,8.238789081573486,37.287032955737395,-
1,switch,230400,1,0,0,0,0,0.0,0.0,ok
1,stress,230400,1,38400,38400,0,0,6.498586893081665,47.2718154045216,-
1,switch,460800,1,0,0,0,0,0.0,0.0,ok
1,stress,460800,1,38400,38400,0,0,5.82276725769043,52.75841990666295,-
1,switch,921600,1,0,0,0,0,0.0,0.0,ok
1,stress,921600,1,38400,38400,0,0,5.258666038513184,58.417856876657,-
1,switch,1000000,0,0,0,0,0,0.0,0.0,ping_new_fail:b'\xe1'
2,recover,115200,1,0,0,0,0,0.0,0.0,from_921600:ok
2,handshake,115200,1,0,0,0,0,0.0,0.0,@PONG
2,stress,115200,1,38400,38400,0,0,8.237352132797241,37.29353741924846,-
2,switch,230400,1,0,0,0,0,0.0,0.0,ok
2,stress,230400,1,38400,38400,0,0,6.506016254425049,47.21783469124578,-
2,switch,460800,1,0,0,0,0,0.0,0.0,ok
2,stress,460800,1,38400,38400,0,0,5.835348129272461,52.64467400992939,-
2,switch,921600,1,0,0,0,0,0.0,0.0,ok
2,stress,921600,1,38400,38400,0,0,5.268761157989502,58.305926343646206,-
2,switch,1000000,0,0,0,0,0,0.0,0.0,ping_new_fail:b'\xe1'
